Key,County,State,Country,Update,Confirmed,Deaths,Recovered,Active
"Bryan, Georgia, US",bryan,georgia,US,2020-04-22 23:30:53,38,2,0,36
"Bryan, Oklahoma, US",bryan,oklahoma,US,2020-04-22 23:30:53,6,1,0,5
"Buchanan, Iowa, US",buchanan,iowa,US,2020-04-22 23:30:53,11,0,0,11
"Buchanan, Missouri, US",buchanan,missouri,US,2020-04-22 23:30:53,35,1,0,34
"Buchanan, Virginia, US",buchanan,virginia,US,2020-04-22 23:30:53,12,0,0,12
"Buckingham, Virginia, US",buckingham,virginia,US,2020-04-22 23:30:53,27,0,0,27
"Bucks, Pennsylvania, US",bucks,pennsylvania,US,2020-04-22 23:30:53,2067,126,0,1941
"Buena Vista, Iowa, US",buena-vista,iowa,US,2020-04-22 23:30:53,2,0,0,2
"Buena Vista, Virginia, US",buena-vista,virginia,US,2020-04-22 23:30:53,5,0,0,5
"Buffalo, Nebraska, US",buffalo,nebraska,US,2020-04-22 23:30:53,61,1,0,60
"Buffalo, Wisconsin, US",buffalo,wisconsin,US,2020-04-22 23:30:53,4,1,0,3
"Bullitt, Kentucky, US",bullitt,kentucky,US,2020-04-22 23:30:53,34,2,0,32
"Bulloch, Georgia, US",bulloch,georgia,US,2020-04-22 23:30:53,33,2,0,31
"Bullock, Alabama, US",bullock,alabama,US,2020-04-22 23:30:53,11,0,0,11
"Buncombe, North Carolina, US",buncombe,north-carolina,US,2020-04-22 23:30:53,49,3,0,46
"Bureau, Illinois, US",bureau,illinois,US,2020-04-22 23:30:53,8,0,0,8
"Burke, Georgia, US",burke,georgia,US,2020-04-22 23:30:53,53,3,0,50
"Burke, North Carolina, US",burke,north-carolina,US,2020-04-22 23:30:53,83,8,0,75
"Burke, North Dakota, US",burke,north-dakota,US,2020-04-22 23:30:53,2,0,0,2
"Burleigh, North Dakota, US",burleigh,north-dakota,US,2020-04-22 23:30:53,65,0,0,65
"Burleson, Texas, US",burleson,texas,US,2020-04-22 23:30:53,10,0,0,10
"Burlington, New Jersey, US",burlington,new-jersey,US,2020-04-22 23:30:53,1878,68,0,1810
"Burnet, Texas, US",burnet,texas,US,2020-04-22 23:30:53,13,0,0,13
"Burt, Nebraska, US",burt,nebraska,US,2020-04-22 23:30:53,1,0,0,1
"Butler, Alabama, US",butler,alabama,US,2020-04-22 23:30:53,17,0,0,17
"Butler, Iowa, US",butler,iowa,US,2020-04-22 23:30:53,2,0,0,2
"Butler, Kansas, US",butler,kansas,US,2020-04-22 23:30:53,13,0,0,13
"Butler, Kentucky, US",butler,kentucky,US,2020-04-22 23:30:53,91,3,0,88
"Butler, Missouri, US",butler,missouri,US,2020-04-22 23:30:53,24,0,0,24
"Butler, Nebraska, US",butler,nebraska,US,2020-04-22 23:30:53,1,0,0,1
"Butler, Ohio, US",butler,ohio,US,2020-04-22 23:30:53,192,4,0,188
"Butler, Pennsylvania, US",butler,pennsylvania,US,2020-04-22 23:30:53,164,7,0,157
"Butte, California, US",butte,california,US,2020-04-22 23:30:53,16,0,0,16
"Butte, South Dakota, US",butte,south-dakota,US,2020-04-22 23:30:53,0,0,0,0
"Butts, Georgia, US",butts,georgia,US,2020-04-22 23:30:53,125,1,0,124
"Cabarrus, North Carolina, US",cabarrus,north-carolina,US,2020-04-22 23:30:53,232,7,0,225
"Cabell, West Virginia, US",cabell,west-virginia,US,2020-04-22 23:30:53,35,0,0,35
